,entry,category,confidence
6338,Mango juice,food,100.00%
6339,cosmetics,personal,99.99%
6340,clothes for birthday gift,recreation,99.99%
6341,New book to read 10,personal,99.99%
6342,Toiletries 2,miscellaneous,95.92%
6343,Took my cat to the vet,medical,99.99%
6344,Water bill,utilities,100.00%
6345,Beddings ,housing,99.99%
6346,Ramen noodles,food,100.00%
6347,water gallon,food,90.82%
6348,Childrens clothing,personal,100.00%
6349,Mobile case 100,miscellaneous,99.99%
6350,Drinks ( soda beer),food,100.00%
6351,TPU case for Samsung Galaxy m02,miscellaneous,95.77%
6352,Pool,recreation,84.03%
6353,duvet blanket,personal,99.99%
6354,A5 sized notebook,miscellaneous,92.35%
6355,perfume,personal,100.00%
6356,cucumbers 1kg,food,100.00%
6357,hardcover notebook,miscellaneous,91.52%
6358,Phone case ,miscellaneous,84.31%
6359,cellphone bill,utilities,100.00%
6360,patreon donation $5,miscellaneous,99.99%
6361,Pillowcases,housing,99.99%
6362,new credit card $12,saving,100.00%
6363,buying of trousers for special occasion,personal,100.00%
6364,Dog grooming 25€,miscellaneous,99.99%
6365,oranges for 5,food,99.99%
6366,Formal Pant at H and M 20,personal,100.00%
6367,gas bill,utilities,100.00%
6368,Shea butter 200,personal,100.00%
6369,Pay for bus fare,transportation,100.00%
6370,airtime subscription,utilities,100.00%
6371,bicycle tyres for 40,transportation,100.00%
6372,Grocery purchase ,food,100.00%
6373,Gluten free snacks from amazon,food,100.00%
6374,Snacks for dog Familia 1040,food,100.00%
6375,Lemons,food,100.00%
6376,Internet payment ,utilities,99.86%
6377,soccer ticket for year,recreation,99.99%
6378,Mechanic payment ,transportation,99.99%
6379,Mobile Phone Plan,utilities,99.99%
6380,Lipstick ,personal,99.93%
6381,New shoe,personal,96.26%
6382,House rent ,housing,100.00%
6383,cinema last friday,recreation,100.00%
6384,Door handle replacement,housing,100.00%
6385,Grocery shopping ,food,100.00%
6386,water park expenses $120,recreation,99.99%
6387,basketball tickets,recreation,99.99%
6388,School fees for September,miscellaneous,99.36%
6389,Comb 1,personal,99.99%
6390,Car parking pay 10,transportation,100.00%
6391,mask,medical,99.99%
6392,Coffee,food,99.99%
6393,Gas filled in car,transportation,100.00%
6394,Deodorant,personal,71.27%
6395,Netflix bill,utilities,100.00%
6396,Body lotion 2000,personal,99.99%
6397,Paid for waste,utilities,99.99%
6398,Tv payment,utilities,99.99%
6399,New jean belt $5,personal,99.96%
6400,purchase of school textbooks for the kids,miscellaneous,94.60%
6401,Paint for my bathroom ,housing,98.89%
6402,go fishing 30,recreation,99.99%
6403,New lock for the backdoor ,housing,99.99%
6404,self help book from Ebay 20,recreation,99.99%
6405,vegetables,food,100.00%
6406,Golf Club membership,recreation,100.00%
6407,Insurance payment,utilities,53.90%
6408,Movie Tickets ,recreation,100.00%
6409,Bought snacks ,food,100.00%
6410,bottle of wine for 8,food,99.99%
6411,Childs monthly tuition fees - 57.89,miscellaneous,99.99%
6412,Bought soap ,miscellaneous,55.74%
6413,green peas 80,food,100.00%
6414,New school uniform,personal,83.65%
6415,Water payment 49,utilities,99.99%
6416,dental visitation cost,medical,99.99%
6417,Purchase of toys,recreation,99.99%
6418,Wife's monthly gift 35$,recreation,99.99%
6419,Kitchen gas ,utilities,100.00%
6420,Pay landlord rent,housing,100.00%
6421,Picnic at the beach 7,recreation,99.99%
6422,Cucumbers,food,100.00%
6423,Wifi for month pay 60,utilities,99.99%
6424,Energy,utilities,95.74%
6425,Black seed oil from amazon,food,100.00%
6426,Took my clothes for laundry,personal,99.99%
6427,Shoes from Amazon 50,personal,86.35%
6428,Hospital expenses 15,medical,100.00%
6429,Tomatoe paste,food,100.00%
6430,Cat toys $10,miscellaneous,99.89%
6431,54 dollars for buying air fresher,housing,99.99%
6432,dog stylist,nonsense,99.99%
6433,Change my wardrobe ,recreation,99.99%
6434,Motorcycle tuning,transportation,99.99%
6435,dog walking expense,miscellaneous,99.98%
6436,Night out,recreation,100.00%
6437,New mattress,miscellaneous,99.99%
6438,Over the counter painkillers ,medical,100.00%
6439,brought a camera,nonsense,69.95%
6440,Electricity bill,utilities,99.99%
6441,Honda insurance payment,transportation,66.37%
6442,Lunch at work $5,food,100.00%
6443,Car charger $4,housing,89.73%
6444,Sanitary pads (2packs),personal,78.85%
6445,Went on dinner,food,100.00%
6446,Mortgage,housing,100.00%
6447,School fees,miscellaneous,96.73%
6448,Sanitary repairs $5,housing,100.00%
6449,Supermarket expenses 25,food,99.99%
6450,Water/Sewer,utilities,68.69%
6451,Morning coffee,food,100.00%
6452,potatoes for 5,food,100.00%
6453,7 thousand  pounds per month.,miscellaneous,99.99%
6454,Electricity bill,utilities,99.93%
6455,Buns,food,99.99%
6456,money to rent a cottage for the weekend,miscellaneous,99.99%
6457,Body cream for the children,medical,89.43%
6458,Mic purchaae from Amazon,utilities,98.25%
6459,Went to Sarit centre,recreation,100.00%
6460,Two heels for mary,recreation,99.99%
6461,Broker fees ,housing,100.00%
6462,packet of cigarettes for 15,recreation,100.00%
6463,tampons $34.99,personal,99.99%
6464,A jumpsuit for mum,personal,99.99%
6465,Ketchup,food,100.00%
6466,Gas payment,utilities,100.00%
6467,Pain medicine,medical,100.00%
6468,Pay monthly dance class fee,personal,99.99%
6469,Tooth brush,personal,99.99%
6470,detergents,food,99.99%
6471,Grocery store,food,100.00%
6472,Washing soap 95,personal,99.99%
6473,phone airtime for month ksh1000,utilities,100.00%
6474,Body cream purchase ,personal,99.99%
6475,Eggs $7,food,100.00%
6476,Indoor heating system ,housing,99.99%
6477,Kale,food,99.99%
6478,Bought a new charger,utilities,92.74%
6479,Pool cleaning services,housing,100.00%
6480,Beef,food,100.00%
6481,pet food,food,100.00%
6482,Car wash,housing,99.99%
6483,Life insurance payment ,saving,100.00%
6484,cable tv subscription,utilities,100.00%
6485,Torchlight,nonsense,100.00%
6486,First-aid ,medical,100.00%
6487,Car insurance,transportation,100.00%
6488,Payment of petrol charge,transportation,100.00%
6489,Phone payment,utilities,99.99%
6490,fuel for my car,transportation,100.00%
6491,Tv channel package monthly 349 sek,utilities,99.99%
6492,Buy a packet of pen,miscellaneous,99.99%
6493,Bus fare 200,transportation,100.00%
6494,Blazer 75$,personal,99.99%
6495,wedding present for daughter,recreation,100.00%
6496,TV streaming payment ,utilities,99.99%
6497,Water bill 25$,utilities,99.99%
6498,Pasta,food,100.00%
6499,Phone bill,utilities,100.00%
6500,School fee,miscellaneous,77.13%
6501,New fans,miscellaneous,99.98%
6502,Electricity bill - $4,utilities,100.00%
6503,A baby cot for the baby,miscellaneous,99.99%
6504,Watch repair,miscellaneous,99.99%
6505,Fare 200ksh,transportation,100.00%
6506,Adidas Shoes (Size 47 grey),personal,99.99%
6507,fast food expense bill,food,100.00%
6508,Medicine,medical,100.00%
6509,son birthday gift,personal,99.99%
6510,new pants for 20,personal,92.31%
6511,Medical prescription and bought medicines,medical,99.99%
6512,Shopping for new suit,personal,92.31%
6513,Gas payment,utilities,100.00%
6514,Purchase of personal items,personal,99.99%
6515,Light bills,utilities,100.00%
6516,Phone accessories 1000,utilities,99.99%
6517,cabbage 20,food,100.00%
6518,Waste management bill,utilities,100.00%
6519,packet of milk for 3,food,100.00%
6520,Sink repair ,housing,100.00%
6521,Clothes,personal,97.16%
6522,fare,transportation,100.00%
6523,ground nuts,food,99.99%
6524,Fumigation fees,housing,100.00%
6525,perfume,personal,100.00%
6526,Rocking chair,miscellaneous,77.31%
6527,Pay for cable tv subscription,utilities,99.99%
6528,School Fees,miscellaneous,97.74%
6529,netflix bill,utilities,99.99%
6530,New shoes for squash,personal,99.50%
6531,Cable subscription expenses,utilities,99.99%
6532,Newspaper subscription,recreation,99.99%
6533,Water and Sewage utility bill,utilities,100.00%
6534,Bought snacks,food,99.99%
6535,Pay for AC repair,housing,99.99%
6536,Medical bill,medical,100.00%
6537,Corriander,food,100.00%
6538,Dentist appointment ,medical,99.99%
6539,Salami,food,99.99%
6540,shoes,personal,99.99%
6541,Condiments,food,100.00%
6542,family dinner date,food,100.00%
6543,Phone Installment ,utilities,99.99%
6544,medecines,medical,100.00%
6545,Cinema ,recreation,100.00%
6546,Cycle,nonsense,99.99%
6547,Cable bill,utilities,99.99%
6548,shots for dog,medical,99.99%
6549,petrol cost,transportation,99.99%
6550,Electricty Bill,utilities,100.00%
6551,Paid TV bill,utilities,82.04%
6552,disposable masks - 10,medical,100.00%
6553,BREAKFAST & COFFE 3€,food,100.00%
6554,Child support ,miscellaneous,86.68%
6555,Dog toys,miscellaneous,98.37%
6556,Credit Card Debt,saving,100.00%
6557,doctor's fee,medical,100.00%
6558,dog food,food,99.99%
6559,mouse trap,recreation,65.93%
6560,Internet bill ksh2000 ,utilities,100.00%
6561,bathing net,miscellaneous,99.99%
6562,Rent,housing,100.00%
6563,Dress shoes,personal,99.99%
6564,Bought lawnmower ,housing,99.99%
6565,Internet bill,utilities,100.00%
6566,Netflix subscription,utilities,99.99%
6567,Rent,housing,100.00%
6568,Microwave 150,miscellaneous,86.23%
6569,Dog food ,food,99.99%
6570,Dogfood,food,99.99%
6571,Onions 3$,food,99.99%
6572,Veterinary fees for cat,medical,99.99%
6573,Baught charger,nonsense,99.99%
6574,Engagement ring 6000,miscellaneous,99.99%
6575,Furniture,housing,99.99%
6576,Monthly Rental Payment 4500,housing,100.00%
6577,Buy chilly sauce,food,100.00%
6578,comb,personal,100.00%
6579,Buy car seat covers,transportation,99.99%
6580,Food(groceries)=$100,food,99.99%
6581,replacement light bulbs,housing,100.00%
6582,Miscellaneous ,miscellaneous,51.05%
6583,packet of custard powder for 5,food,99.92%
6584,mother's health insurance,medical,100.00%
6585,enclosure for hdd - 10,miscellaneous,59.43%
6586,1pack smokies,food,99.99%
6587,Tuition fee,miscellaneous,99.99%
6588,medication,medical,100.00%
6589,My wife's car service 25,transportation,99.85%
6590,Spa day ,recreation,100.00%
6591,Laptop bag,miscellaneous,80.25%
6592,business license renewal,miscellaneous,99.99%
6593,Netflix,recreation,99.99%
6594,Wifi payment,utilities,99.99%
6595,hair salon,personal,99.99%
6596,Hair oil ,personal,99.99%
6597,Two 1.5L Soft Drinks,food,99.99%
6598,Sister's back to school shoppings 10000,miscellaneous,99.99%
6599,Jean trousers $14,personal,99.99%
6600,Food,food,99.99%
6601,Clothing,personal,99.99%
6602,Beer,food,99.99%
6603,packet of qtips for 5,nonsense,99.99%
6604,sandals for kids,personal,72.10%
6605,food for pet,miscellaneous,99.77%
6606,garlic sause,food,99.09%
6607,pain au chocolat pastry to go -3.99,food,99.99%
6608,Funiture for living room 550,housing,100.00%
6609,ordered chocked from hotel,nonsense,100.00%
6610,cell phone,utilities,99.99%
6611,spotify subscription,utilities,62.11%
6612,Coffee,food,99.99%
6613,Summer attire,personal,99.99%
6614,New body and face cream,personal,99.87%
6615,lip stick,personal,99.97%
6616,Car polish 45,transportation,99.99%
6617,New shirt for Isaac ,personal,99.99%
6618,Sister's birthday present 5000,miscellaneous,99.99%
6619,stall rental,housing,100.00%
6620,Pay housekeepers ,miscellaneous,94.67%
6621,kemi deliveries- 2 denim jackets @20$,personal,99.97%
6622,Car oil change,transportation,100.00%
6623,Upgrade ,nonsense,100.00%
6624,Landscaping 25,housing,100.00%
6625,Dog Food,miscellaneous,69.91%
6626,Mom's upkeep 25000,miscellaneous,99.99%
6627,Perfume ,personal,100.00%
6628,Homeowners Insurance,housing,100.00%
6629,wheat flour,food,99.99%
6630,Credit card expenses ,saving,100.00%
6631,snacks,food,99.99%
6632,Water bill 150,utilities,100.00%
6633,Phone airtime ksh500,utilities,100.00%
6634,Graph book 400,miscellaneous,98.61%
6635,Concert fee,recreation,99.99%
6636,distilled water delivery,utilities,99.99%
6637,Upkeep for daughter's house 20000,saving,88.28%
6638,concertfee,recreation,99.99%
6639,Child food 20,food,99.99%
6640,internet bill,utilities,99.86%
6641,Concert tickets for CKay,recreation,99.99%
6642,Sound and entertainment payment,recreation,100.00%
6643,food,food,100.00%
6644,Bought medicines,medical,100.00%
6645,Elecricity,utilities,89.72%
6646,Buy new queen size bed sheets,personal,59.43%
6647,Water,utilities,98.02%
6648,clothing,personal,98.99%
6649,LinkedIn premium payment ,miscellaneous,82.27%
6650,Onions,food,100.00%
6651,Gift for mom from boutique ,miscellaneous,93.06%
6652,Birthday gift for dad,miscellaneous,99.58%
6653,school costs,miscellaneous,99.58%
6654,summer camp,recreation,99.99%
6655,Gym membership renewal,recreation,99.99%
6656,Pet grooming,miscellaneous,99.99%
6657,diapers,personal,91.74%
6658,Kids new school uniform and shoes,miscellaneous,98.19%
6659,Phone screen protector,utilities,99.99%
6660,House rent,housing,100.00%
6661,Rent payment,housing,100.00%
6662,Brother's school fees 25000,miscellaneous,95.10%
6663,phone bill,utilities,100.00%
6664,Car fuel 5$,transportation,100.00%
6665,painting,housing,99.99%
6666,Perfume refill,personal,99.99%
6667,Olive oil for cooking,food,99.99%
6668,Nakonde rice k10,food,99.99%
6669,Electricity bill 609,utilities,99.99%
6670,Streaming app fee,utilities,56.28%
6671,Car repair,transportation,100.00%
6672,House Rent 100$,housing,100.00%
6673, Termly school fees 10$,miscellaneous,99.99%
6674,Shoe purchase,personal,99.11%
6675,Sugar,food,99.99%
6676,Afternoon snacks,food,100.00%
6677,mustard,food,100.00%
6678,Personal Upkeep,personal,52.90%
6679,tote bag,personal,100.00%
6680,Cheese,food,100.00%
6681,Bread,food,99.99%
6682,Employees salaries ,saving,77.48%
6683,Fuel for my car,transportation,99.99%
6684,Mortgage payment ,housing,100.00%
6685,My car Fuel 689,transportation,100.00%
6686,doors and windows for mother's house,housing,100.00%
6687,Laptop maintenance,utilities,99.99%
6688,hair brush,personal,99.99%
6689,salon - 2000,personal,99.88%
6690,hanger clipd,nonsense,99.99%
6691,Friend's birthday gift,miscellaneous,99.99%
6692,Events Ticket ,recreation,99.99%
6693,Uber payment,transportation,99.99%
6694,hair wig,personal,99.99%
6695,shower cream,personal,99.99%
6696,Fuel for month,transportation,100.00%
6697,Room rent,housing,100.00%
6698,Groceries,food,99.95%
6699,nails,personal,95.50%
6700,Buy a new sauce pan,miscellaneous,99.99%
6701,transportation,transportation,100.00%
6702,Hair salon ksh1000,personal,99.99%
6703,Park walk =₹20,recreation,100.00%
6704,Fruit,food,100.00%
6705,kid's pocket money,miscellaneous,99.99%
6706,Acquisition of a headset 15,utilities,99.99%
6707,Napkins,housing,99.99%
6708,Slippers,personal,99.24%
6709,Library subscription ,personal,76.19%
6710,eyelash extension,personal,99.99%
6711,grey waist coat for 18,personal,99.99%
6712,Rent a yatch,recreation,100.00%
6713,carrots,food,100.00%
6714,electric bill,utilities,99.99%
6715,Physiotherapy monthly payment 100,medical,100.00%
6716,kitchen table,housing,99.99%
6717,Cow's feed 5600,miscellaneous,99.99%
6718,Fast food takeout for dinner,food,100.00%
6719,Vacation,recreation,99.99%
6720,Car rent 340,transportation,99.99%
6721,tooth brush,personal,99.99%
6722,avocado,food,99.99%
6723,clothes,personal,99.99%
6724,Electrical,utilities,99.99%
6725,Face scrub,personal,100.00%
6726,tezenis leggings - 15,personal,99.99%
6727,Dominoes Pizza payment,food,99.99%
6728,Electricity tokens,utilities,100.00%
6729,grey scarf,personal,99.99%
6730,debenhams gift card - 10,miscellaneous,99.99%
6731,noodles,food,99.99%
6732,Buy towels,personal,99.99%
6733,room service tip,miscellaneous,99.67%
6734,Makeup ,personal,99.99%
6735,Rent,housing,99.99%
6736,School fees,saving,99.99%
6737,New bike for son,transportation,100.00%
6738,motorcycle repair,transportation,100.00%
6739,Health Insurance ,medical,90.86%
6740,Laundry soap and conditioner ,personal,89.49%
6741,New dress for mother,personal,100.00%
6742,Udemy subscription fee ,miscellaneous,99.99%
6743,Weekend entertainment,recreation,100.00%
6744,Books 200,miscellaneous,84.60%
6745,Cumin,food,99.99%
6746,Buying cups,miscellaneous,99.99%
6747,Electricy bill,utilities,99.99%
6748,Electric bill 45,utilities,99.97%
6749,packet of chips for 7,food,100.00%
6750,Grocery expenses ,food,100.00%
6751,Ipad 9 - 329,utilities,99.28%
6752,shoe brush ,personal,98.95%
6753,Sunscreen ,personal,99.99%
6754,Electricity Bill 15$,utilities,100.00%
6755,seeds to plant veggies - 10.99,food,99.99%
6756,Sandals,personal,99.97%
6757,Monthly house rent,housing,100.00%
6758,Dog snacks ,miscellaneous,99.99%
6759,bought gshock watch,personal,99.99%
6760,Dog Grooming 7900,miscellaneous,99.99%
6761,Ariel laundry detergent ,food,57.22%
6762,Monthly bill payments,utilities,100.00%
6763,Wattpad book,recreation,96.04%
6764,refrigerator,housing,99.99%
6765,Maybelline foundation 15,personal,99.99%
6766,Enrolled at a driving school,miscellaneous,99.99%
6767,electric screwdriver,miscellaneous,84.08%
6768,Milk,food,99.99%
6769,House renovation ,housing,100.00%
6770,payment for auto loan,saving,99.99%
6771,dog vaccination - 7.50,medical,99.99%
6772,Rum,recreation,100.00%
6773,Hair cut,personal,99.99%
6774,Transport for the day 30,transportation,100.00%
6775,Transport fare to and from school,transportation,100.00%
6776,Salon payment,personal,99.99%
6777,Hosting,recreation,99.99%
6778,Pad $12,personal,100.00%
6779,magsafe for iphone - 25,utilities,97.39%
6780,Headphones,recreation,99.92%
6781,Internet,utilities,99.99%
6782,inflatable bed - 25,housing,87.97%
6783,bottle of vinegar for 5,food,99.99%
6784,Fabric conditioner ,food,96.70%
6785,Curtains 20,miscellaneous,95.36%
6786,Diapers ,personal,99.49%
6787,Buy dhatri hair oil,personal,99.99%
6788,Sunscreen,personal,99.99%
6789,Lunch dates ksh2500,food,100.00%
6790,Skin care products 20,personal,98.11%
6791,My car fuel 176,transportation,99.99%
6792,school bus payment,transportation,100.00%
6793,Phone payment,utilities,99.99%
6794,Air fare,transportation,100.00%
6795,books,recreation,98.90%
6796,Crabstick,food,99.96%
6797,Bought flowers in-store,recreation,91.32%
6798,Fuel,transportation,100.00%
6799,Charcoal 25,miscellaneous,99.99%
6800,Fabric Detergent,food,98.81%
6801,Red pen for 2,miscellaneous,62.53%
6802,book,miscellaneous,99.99%
6803,Children fee 50$,miscellaneous,99.99%
6804,Paid car insuarance,transportation,100.00%
6805,shampoo,personal,99.99%
6806,Charity donation ,miscellaneous,99.99%
6807,Perfume oil $4,personal,99.98%
6808,Airtime for the phone,utilities,99.99%
6809,Sandals from Walmart $35,personal,99.99%
6810,Pencil,miscellaneous,94.82%
6811,Bought new phone charger,utilities,100.00%
6812,Wedding gift for cousin,miscellaneous,99.99%
6813,Bought mascara,personal,99.77%
6814,Acquisition of brand new shoe 50,personal,99.99%
6815,Cable,utilities,100.00%
6816,Bought a movie ticket,recreation,99.99%
6817,phone cover for cell phone,utilities,99.94%
6818,Cousin Vianny's gift,miscellaneous,91.54%
6819,Medicine ,medical,100.00%
6820,Passport renewal payment,miscellaneous,95.62%
6821,Cereal,food,100.00%
6822,House decor,housing,99.99%
6823,Rent payment 300€,housing,99.99%
6824,My car Fuel 320,transportation,100.00%
6825,Netflix payment ,utilities,99.99%
6826,Gift card 100,miscellaneous,94.05%
6827,entrancefeetocarnial,nonsense,100.00%
6828,House grocery shopping,food,100.00%
6829,Phone airtime ksh550,utilities,100.00%
6830,Phone subscription ,utilities,100.00%
6831,Limousine rental payment,transportation,100.00%
6832,Mortein doom insecticide,miscellaneous,62.37%
6833,Red-wine vinegar,food,100.00%
6834,Buy pain relief roll on,medical,100.00%
6835,garage tax,transportation,100.00%
6836,Dates,nonsense,100.00%
6837,Bottled water,food,100.00%
6838,table fan for 35,miscellaneous,79.42%
6839,Yogurt,food,100.00%
6840,timba,nonsense,100.00%
6841,amazon gift cards,miscellaneous,99.99%
6842,toothbrush for 3,personal,99.99%
6843,Bouquet of flowers 1500,miscellaneous,99.99%
6844,Bought heels,personal,99.80%
6845,Car repairs ,transportation,99.99%
6846,Paid rent,housing,100.00%
6847,Motorcycles,transportation,99.99%
6848,Taxes,housing,100.00%
6849,Removable leg cast,medical,100.00%
6850,Electricity bill ,utilities,99.78%
6851,Soft drinks ,food,100.00%
6852,Apple Music payment ,utilities,99.99%
6853,bought a toothbrush,personal,99.99%
6854,sheer hold ups - 4.99,personal,99.99%
6855,Savings 1000,saving,99.99%
6856,bought groceries,food,99.99%
6857,Electricity Bill 700,utilities,99.99%
6858,Chicken,food,99.99%
6859,eyeshadow,personal,99.99%
6860,detergent,medical,61.60%
6861,Phone bill 65,utilities,99.99%
6862,Medicine,medical,100.00%
6863,Car insurance,transportation,100.00%
6864,memory card,utilities,91.19%
6865,copybooks,miscellaneous,93.31%
6866,Suitcase ,personal,99.84%
6867,Groceries 30,food,100.00%
6868,disposable coffee cups 25,housing,99.99%
6869,Car repairs ,transportation,99.99%
6870,New gumboots for son,personal,98.40%
6871,Books Purchase,recreation,99.99%
6872,Internet Bills,utilities,99.99%
6873,My wife's car service 25,transportation,100.00%
6874,Gave money to Raj,miscellaneous,83.07%
6875,spotify subscription,utilities,99.99%
6876,dog chain for 10,miscellaneous,99.99%
6877,Clothing account payment,personal,74.03%
6878,Gift for mom,miscellaneous,99.99%
6879,tuition fee,miscellaneous,99.99%
6880,Pillows,housing,99.99%
6881,phone,utilities,100.00%
6882,Cookbook from Amazon ,food,100.00%
6883,Netflix subscription ,recreation,99.99%
6884,Medicine maintenance,medical,100.00%
6885,snacks,food,99.99%
6886,Car rent,transportation,100.00%
6887,USB game controller,miscellaneous,99.82%
6888,Birth day gift for buddy,miscellaneous,99.99%
6889,Grocery shopping,food,99.99%
6890,Fresh flowers ,personal,100.00%
6891,Vet Visit ,miscellaneous,88.93%
6892,Fresh cream,food,99.97%
6893,Clothes,personal,99.99%
6894,Health insurance,medical,99.99%
6895,Buy outfits for the function,personal,99.99%
6896,makeup,personal,99.65%
6897,Buy groceries for a month,food,100.00%
6898,Shaving machine,personal,98.47%
6899,Transport expenses 25,transportation,100.00%
6900,Buy gift for the birthday party,miscellaneous,99.99%
6901,ElectricityBill 500,utilities,99.99%
6902,Fixed my fan,housing,100.00%
6903,visa application fee,personal,99.99%
6904,digital art piece to use legally - 10,housing,98.50%
6905,Cable subscription 5,utilities,99.99%
6906,Cooking ingredients of 10$,food,99.99%
6907,Shirts,personal,99.19%
6908,Beans 4400,food,99.99%
6909,cooking oil,food,99.99%
6910,mathematics books,miscellaneous,93.31%
6911,School fees 400,miscellaneous,99.99%
6912,Monthly car rental payment,transportation,100.00%
6913,Wig $80,nonsense,57.95%
6914,Personal grooming ,personal,93.13%
6915,New battery for mother's watch,miscellaneous,99.99%
6916,Zippo,nonsense,99.99%
6917,Handbag $22,personal,99.86%
6918,Toothpaste $13,food,99.99%
6919,Toilet paper,food,99.90%
6920,Deodorant,personal,99.86%
6921,Entertainment ,recreation,99.99%
6922,Bought 10kg dog food,food,99.99%
6923,transport expenses,transportation,100.00%
6924,internet and phone bills,utilities,99.99%
6925,Pay service charge for repairing AC,housing,99.99%
6926,Nike ,nonsense,78.96%
6927,Replace broken living room window,housing,100.00%
6928,Books ,recreation,97.74%
6929,Medicine 500,medical,100.00%
6930,Cellular Provider Fees,utilities,99.99%
6931,Car wheels 150000,transportation,100.00%
6932,Monthly phone payment,utilities,100.00%
6933,a ream of bond paper,miscellaneous,99.99%
6934,dog shampoo for 15,personal,99.99%
6935,rent,housing,100.00%
6936,Car fuel 5$,transportation,100.00%
6937,Rent expense,housing,100.00%
6938,paddington bear plush to give a child - 3.75,miscellaneous,99.99%
6939,Red wine 40,food,100.00%
6940,Suitcase ,personal,84.31%
6941,Wheelchair,medical,99.99%
6942,Bank loans,saving,100.00%
6943,Phone bill,utilities,99.99%
6944,Driving licence,transportation,100.00%
6945,Pizza $10,food,99.99%
6946,Emergency funds,medical,99.99%
6947,new plants for balcony 75 tl,miscellaneous,57.57%
6948,iPhone 14 pro max 700,utilities,100.00%
6949,2kg wheat flour,food,99.99%
6950,iron sheets for mother's house,housing,72.39%
6951,Laundry services,personal,99.99%
6952,Short term personal loans,saving,100.00%
6953,Margarine,food,100.00%
6954,fish net for chicken fence,housing,99.99%
6955,pen,personal,70.03%
6956,Medicine bill,medical,100.00%
6957,Paid for phone installment,utilities,99.99%
6958,Internet bill payment 1500,utilities,100.00%
6959,Karaoke night ksh4000,recreation,96.25%
6960,medicine,medical,99.99%
6961,Phone Recharge,utilities,99.87%
6962,Cable tv subscription,utilities,100.00%
6963,Bought sandals for my sister,miscellaneous,99.99%
6964,New schoolbag for son,miscellaneous,99.99%
6965,Loan repayment ,saving,99.99%
6966,Payment of Monthly Insurance,utilities,100.00%
6967,Fish,food,100.00%
6968,Shopping,personal,100.00%
6969,Bought new underwears,personal,99.99%
6970,kales,food,99.69%
6971,Employee salaries,saving,93.63%
6972,hand wash gel for 15,medical,99.99%
6973,Ham,food,99.99%
6974,Gaming,recreation,100.00%
6975,Halloween,nonsense,99.99%
6976,take my girlfriend on a date,personal,92.91%
6977,dental check up,medical,100.00%
6978,Electricity ,utilities,99.89%
6979,birthday gift purchase,miscellaneous,99.99%
6980,Groceries ,food,100.00%
6981,market shopping weekly 1038 tl,food,99.99%
6982,gift,recreation,99.99%
6983,Red lipstick for myself,personal,99.99%
6984,skincare,personal,99.61%
6985,Soap,food,99.99%
6986,Cages,nonsense,99.99%
6987,Miscellaneous expenses ksh3000,miscellaneous,88.39%
6988,Bought earphones and a phone case,recreation,98.56%
6989,Shoes for mum's birthday gift,miscellaneous,61.32%
6990,screws and nails - 10,miscellaneous,51.69%
6991,Furniture ,housing,99.99%
6992,home rent,housing,99.99%
6993,wall painting,housing,99.99%
6994,repaid my mortgage,housing,100.00%
6995,socks,personal,99.99%
6996,school supplies,miscellaneous,73.01%
6997,Buying aerial ,miscellaneous,100.00%
6998,Netflix subscription ksh1500,utilities,99.99%
6999,Children clothing,miscellaneous,73.01%
7000,Groceries,food,99.99%
7001,Electricity Line,utilities,99.99%
7002,blue band,food,99.32%
7003,Water Bill for August ,utilities,99.99%
7004,ham,food,99.99%
7005,Mountain Dew,nonsense,99.99%
7006,Toothbrush,personal,99.99%
7007,loanrepaymentschedule,saving,99.99%
7008,holiday travel,recreation,100.00%
7009,sainsbury graceries - 10,food,99.99%
7010,KEBAB FOR DINNER 7€,food,99.96%
7011,Bread,food,100.00%
7012,charcoal for barbeque,food,99.98%
7013,Oregano,food,99.99%
7014,Grandmother's medicine 1500,medical,100.00%
7015,Car,transportation,100.00%
7016,Diapers,miscellaneous,99.99%
7017,Adidas running shoes,personal,99.99%
7018,Medicines 5000,medical,100.00%
7019,Replace Car battery,transportation,100.00%
7020,Cat food,food,99.99%
7021,Socks,personal,99.99%
7022,swim lessons,personal,99.99%
7023,Nail and hair Salon,personal,99.99%
7024,gardening supplies,housing,99.99%
7025,Sponge,miscellaneous,99.99%
7026,diary for 4,miscellaneous,99.99%
7027,Medicine 1$,medical,99.99%
7028,vet fee,medical,99.99%
7029,Some pastries,food,99.99%
7030,union jack blanket 3.99,personal,89.03%
7031,mopper,personal,45.95%
7032,Groceries shopping,food,100.00%
7033,my mother's airtime,utilities,99.99%
7034,Water bill 6,utilities,100.00%
7035,Parking,transportation,99.99%
7036,Loan repayment ,saving,99.99%
7037,airtime for my niece,recreation,64.44%
7038,tooth brush,personal,99.99%
7039,top shop gift card - 20,recreation,99.99%
7040,Phone repair,utilities,98.76%
7041,Stationery 25,personal,99.99%
7042,Tiramisu cake,food,99.99%
7043,Internet subscription,utilities,99.99%
7044,Make up ksh2000,personal,100.00%
7045,Tooth paste,food,99.99%
7046,books,recreation,99.99%
7047,vehicle lease,transportation,99.99%
7048,Electricity ,utilities,99.99%
7049,Wine,food,99.99%
7050,turkcell tv membership 11 tl,utilities,99.99%
7051,Lunch =₹60,food,100.00%
7052,litter bin,miscellaneous,99.99%
7053,Video Games ,recreation,99.99%
7054,Gas,transportation,100.00%
